id,company,developer,game,porting,publisher,supporting
12412,"{'id': 690, 'name': 'Torus Games'}",True,5143,False,False,False
13072,"{'id': 1151, 'name': 'Game Arts'}",True,5401,False,True,False
18347,"{'id': 1260, 'name': 'Behaviour Interactive'}",True,7630,False,False,False
25667,"{'id': 2438, 'name': 'CyberConnect2'}",True,11809,False,False,False
17028,"{'id': 2846, 'name': 'Mad Doc Software'}",True,7193,False,False,False
38470,"{'id': 10212, 'name': 'Illusion'}",True,22471,False,True,False
39735,"{'id': 787, 'name': 'Aspect'}",True,20704,False,False,False
38091,"{'id': 9964, 'name': 'Just1337 Studio'}",True,21970,False,False,False
72071,"{'id': 837, 'name': 'LEVEL-5'}",True,113249,False,False,False
68412,"{'id': 903, 'name': 'Interplay Productions'}",True,81467,False,True,False
378735,"{'id': 1933, 'name': 'Neko Entertainment'}",True,20483,False,False,False
45765,"{'id': 8900, 'name': 'Metalhead Software'}",True,26612,False,True,False
255776,"{'id': 53031, 'name': 'Square Enix Business Division 6'}",True,26341,False,False,False
55403,"{'id': 321, 'name': 'Tose'}",True,48179,False,False,False
64131,"{'id': 8334, 'name': 'stillalive studios'}",True,96250,False,False,False
9748,"{'id': 1318, 'name': 'Sidhe Interactive'}",True,3767,False,False,False
8863,"{'id': 1769, 'name': 'Marvelous Interactive'}",True,3392,False,True,False
24291,"{'id': 5896, 'name': 'Irem Corporation'}",True,11124,False,True,False
25437,"{'id': 817, 'name': 'Taito'}",True,11729,False,True,False
11696,"{'id': 1092, 'name': 'AIM Productions'}",True,4859,False,False,False
1677,"{'id': 673, 'name': 'Blimey! Games'}",True,737,False,False,False
7151,"{'id': 1021, 'name': 'WayForward Technologies'}",True,2797,False,False,False
9941,"{'id': 1817, 'name': 'Z-Axis'}",True,3826,False,False,False
35130,"{'id': 8537, 'name': 'BadFly Interactive, a.s.'}",True,18078,False,True,False
2011,"{'id': 639, 'name': 'Strategic Studies Group'}",True,932,False,False,False
63445,"{'id': 8190, 'name': 'Saibot Studios'}",True,76037,False,False,False
64021,"{'id': 15290, 'name': 'Plixik'}",True,96200,False,False,False
59603,"{'id': 14288, 'name': 'Dandylion'}",True,80002,False,True,False
57968,"{'id': 1766, 'name': 'Pack-In-Video'}",True,72808,False,False,False
60587,"{'id': 48, 'name': 'NetherRealm Studios'}",True,76547,False,False,False
170281,"{'id': 111, 'name': 'The Creative Assembly'}",True,197779,False,False,False
58110,"{'id': 804, 'name': 'Beam Software'}",True,75883,False,False,False
256286,"{'id': 31125, 'name': 'Live Wire'}",True,206818,False,False,False
69529,"{'id': 827, 'name': 'Telenet Japan'}",True,93373,False,False,False
297557,"{'id': 29247, 'name': 'Alex Grade'}",True,291875,False,True,False
40874,"{'id': 129, 'name': 'Konami'}",True,22513,False,True,False
